Device Name;Region;Type;Famille;Produit;Edition;Version
Device 271;EMEA;Desktop;Office;Visio;Professional;2007
Device 271;EMEA;Desktop;Office;Office;Professional;2010
Device 272;EMEA;Desktop;Office;Office;Home and Business;2013
Device 273;EMEA;Desktop;Office;Office;Small Business;2007
Device 274;EMEA;Desktop;Office;Office;Small Business;2007
Device 275;EMEA;Desktop;Office;Office;Small Business;2007
Device 276;EMEA;Desktop;Office;Office;Small Business;2007
Device 277;EMEA;Desktop;Office;Office;Small Business;2007
Device 278;EMEA;Desktop;Office;Office;Home and Business;2013
Device 279;EMEA;Desktop;Office;Office;Professional;2013
Device 280;EMEA;Desktop;Office;Office;Home and Business;2013
Device 281;EMEA;Desktop;Office;Visio;Standard;2010
Device 281;EMEA;Desktop;Office;Office;Professional;2013
Device 281;EMEA;Desktop;Office;Project;Standard;2010
Device 282;EMEA;Desktop;Office;Office;Small Business;2007
Device 282;EMEA;Desktop;Office;Project;Standard;2010
Device 282;EMEA;Desktop;Office;Visio;Standard;2007
Device 283;EMEA;Desktop;Office;Project;Standard;2007
Device 283;EMEA;Desktop;Office;Office;Professional;2013
Device 283;EMEA;Desktop;Office;Visio;Standard;2007
Device 284;EMEA;Desktop;Office;Office;Professional;2013
Device 285;EMEA;Desktop;Office;Office;Home and Business;2013
Device 286;EMEA;Desktop;Office;Office;Professional;2013
Device 286;EMEA;Desktop;Office;Project;Professional;2013
Device 287;EMEA;Desktop;Office;Office;Home and Business;2013
Device 288;EMEA;Desktop;Office;Office;Home and Business;2013
Device 289;EMEA;Desktop;Office;Office;Home and Business;2013
Device 290;EMEA;Desktop;Office;Office;Home and Business;2013
Device 291;EMEA;Desktop;Office;Office;Home and Business;2013
Device 292;EMEA;Desktop;Office;Office;Professional;2010
Device 293;EMEA;Desktop;Office;Office;Small Business;2007
Device 294;EMEA;Desktop;Office;Office;Home and Business;2016
Device 295;EMEA;Desktop;Office;Office;Home and Business;2013
Device 296;EMEA;Desktop;Office;Office;Professional;2013
Device 297;EMEA;Desktop;Office;Office;Home and Business;2013
Device 298;EMEA;Desktop;Office;Office;Home and Business;2013
Device 299;EMEA;Desktop;Office;Office;Professional;2013
Device 300;EMEA;Desktop;Office;Office;Professional;2013
Device 301;EMEA;Desktop;Office;Office;Home and Business;2013
Device 302;EMEA;Desktop;Office;Office;Professional;2010
Device 303;EMEA;Desktop;Office;Office;Home and Business;2013
Device 304;EMEA;Desktop;Office;Office;Home and Business;2013
Device 305;EMEA;Desktop;Office;Office;Home and Business;2013
Device 306;EMEA;Desktop;Office;Office;Professional;2013
Device 307;EMEA;Desktop;Office;Office;Home and Business;2013
Device 308;EMEA;Desktop;Office;Office;Home and Business;2013
Device 309;EMEA;Desktop;Office;Office;Small Business;2007
Device 310;EMEA;Desktop;Office;Office;Home and Business;2013
Device 311;EMEA;Desktop;Office;Office;Professional;2013
Device 312;EMEA;Desktop;Office;Office;Home and Business;2013
Device 313;EMEA;Desktop;Office;Office;Home and Business;2013
Device 314;EMEA;Desktop;Office;Office;Home and Business;2013
Device 315;EMEA;Desktop;Office;Office;Professional Plus;2010
Device 316;EMEA;Desktop;Visual;Visual C++;;6
Device 316;EMEA;Desktop;Office;Office;Professional Plus;2010
Device 317;EMEA;Desktop;Office;Office;Standard;2010
Device 317;EMEA;Desktop;Office;Office Language;;2010
Device 318;EMEA;Desktop;Office;Office;Professional Plus;2013
Device 318;EMEA;Desktop;Office;Office Language;;2010
Device 319;EMEA;Desktop;Office;Office Language;;2010
Device 319;EMEA;Desktop;Office;Project;Standard;2010
Device 319;EMEA;Desktop;Office;Office;Standard;2010
Device 320;EMEA;Desktop;Office;Office Language;;2010
Device 320;EMEA;Desktop;Office;Office;Standard;2010
Device 321;EMEA;Desktop;Office;Office Language;;2010
Device 321;EMEA;Desktop;Office;Office;Standard;2010
Device 322;EMEA;Desktop;Visual;Visual Studio;Community;2015
Device 322;EMEA;Desktop;Office;Office Language;;2010
Device 322;EMEA;Desktop;Office;Office;Standard;2010
Device 323;EMEA;Desktop;Office;Office Language;;2010
Device 323;EMEA;Desktop;Office;Office;Standard;2010
